id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
178;;[];;;;;;09:00-13:00(R);14:00-20:00(R);09:00-13:00(R);14:00-20:00(R);09:00-13:00(R);14:00-20:00(R);09:00-12:30(R);14:00-20:00(R);09:00-13:00(R);14:00-20:00(R)
179;2023-10-20 14:30:00;[Timestamp('2023-10-20 14:30:00')];;;;;;;;;;;;;;;
180;2023-12-21 12:30:00;[Timestamp('2023-12-21 12:30:00'), Timestamp('2023-08-31 12:00:00')];;RET;;;;;;;;;;;;;
181;;[];;;;PVM1;;08:30-14:00(R);14:00-15:00(R);08:30-14:00(R);14:00-19:00(R);;;08:30-14:00(R);14:00-19:00(R);08:30-14:00(R);14:00-18:00(R)
182;;[];;;;;;;;;;;;;;;
183;2023-11-16 14:30:00;[Timestamp('2023-11-16 14:30:00')];;;;;;;;;;;;;;;
184;2024-02-29 11:30:00;[Timestamp('2024-02-29 11:30:00'), Timestamp('2023-07-13 12:30:00')];;;;;;09:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-18:30(R);;14:00-18:30(R);09:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-18:30(R)
185;;[];;;;;;;;;;;;;;;
186;;[];;;;;;;;;;;;;;;
187;;[];;;;;;;;;;;;;;;
188;2024-01-26 13:00:00;[Timestamp('2024-01-26 13:00:00')];True;RDV;;OUI;;09:00-12:30(R);;;;09:00-13:00(R);;09:00-14:00(R);14:00-18:30(R);09:00-13:00(R);
